# A-Z navigation word buckets
# Derived snapshot subset from aspell English dictionary release.
# One line per letter bucket used by pager logic.
A: abacus, anchor, astral, axiom
B: beacon, binary, botany, breeze
C: cabin, cactus, cipher, crystal
D: delta, domain, dragon, dynamo
E: eager, echo, ember, engine
F: fabric, falcon, fathom, fusion
G: galaxy, garden, glisten, gravity
H: harbor, hazel, helium, horizon
I: icicle, ignite, impact, island
J: jaguar, jasmine, jigsaw, jovial
K: kernel, keystone, kindle, krypton
L: ladder, lantern, legend, lunar
M: magnet, matrix, meadow, myriad
N: nebula, nectar, needle, nylon
O: oasis, object, onyx, oracle
P: paddle, paradox, pebble, plasma
Q: quartz, quest, quiver, quotient
R: radar, raven, ripple, rocket
S: saffron, satin, signal, syntax
T: tactic, temple, thunder, topaz
U: ultra, unison, uplift, utopia
V: vacuum, velvet, vertex, vivid
W: walnut, warden, whisper, window
X: xenon, xylem, xylitol, xylophone
Y: yacht, yearn, yield, yonder
Z: zeal, zenith, zephyr, zircon
